date,total_prs,repos_with_prs
2026-03-06,121,39
2026-03-09,121,39,113
2026-03-10,115,39,107
2026-03-11,115,39,107
2026-03-12,115,39,107
2026-03-13,114,38,106
2026-03-14,114,38,106
2026-03-15,114,38,107
2026-03-16,114,38,107
2026-03-17,114,38,107
2026-03-18,67,17,59
2026-03-19,67,17,59
2026-03-20,67,17,59
2026-03-21,68,17,60
2026-03-22,68,17,60
2026-03-23,68,17,60
2026-03-24,62,13,29
2026-03-25,62,13,30
2026-03-26,61,13,30
2026-03-27,61,13,30
2026-03-28,61,13,30
2026-03-29,61,13,30
2026-03-30,61,13,30
2026-03-31,61,13,30
2026-04-01,61,13,30
2026-04-02,61,13,30
2026-04-03,89,27,32
2026-04-04,89,27,32
2026-04-05,89,27,32
2026-04-06,89,27,32
2026-04-07,88,26,34
2026-04-08,76,18,36
2026-04-09,68,13,37
2026-04-10,70,14,37
2026-04-11,70,14,37
2026-04-12,70,14,37
2026-04-13,70,14,38
2026-04-14,69,13,38
2026-04-15,69,13,39
2026-04-16,68,13,38
2026-04-17,100,32,38
2026-04-18,101,32,39
2026-04-19,101,32,39
2026-04-20,101,32,39
2026-04-21,100,32,39
2026-04-22,69,14,39
2026-04-23,69,14,39
2026-04-24,69,14,39
2026-04-25,69,14,39
2026-04-26,69,14,39
2026-04-27,69,14,39
2026-04-28,69,14,39
