date,needs_release,unknown
2026-08-18,21,0
2026-08-19,18,0
2026-08-20,19,0
2026-08-21,2,0
2026-08-22,2,0
2026-08-23,2,0
2026-08-24,2,0
2026-08-25,4,0
2026-08-26,6,0
2026-08-27,0,0
2026-08-29,0,0
2026-08-30,0,0
2026-08-31,0,0
2026-09-01,1,0
2026-09-02,1,0
2026-09-03,1,0
2026-09-04,2,0
2026-09-05,2,0
2026-09-06,2,0
2026-09-07,2,0
2026-09-08,2,0
2026-09-09,2,0
2026-09-10,2,0
2026-09-11,1,0
2026-09-12,14,0
2026-09-14,14,0
2026-09-15,15,0
2026-09-16,17,0
2026-09-17,0,0
2026-09-18,0,0
2026-09-19,0,0
2026-09-20,0,0
2026-09-21,0,0
2026-09-22,0,0
2026-09-23,0,0
2026-09-24,0,0
2026-09-25,1,0
2026-09-26,24,0
